,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
53,Business Analyst I,$66K - $80K (Employer est.),"Overview:
The Business Process Analyst will be responsible for driving Business Process Improvement assessments to identify process and product enhancements that will enable operational efficiencies and quality improvements. This role will have a strong focus on cross-functional collaboration and will be responsible for creating and maintaining business process documentation, aligned with industry standards and with high attention to quality and detail.
Responsibilities:
Work closely with the business partner to understand their business and how current and future systems may improve productivity and quality.
Conduct analysis to determine the best path for solving business problems/opportunities that may include process improvement, systems enhancement, user training, and/or software procurement
Qualifications:",3.5 ★,Cotiviti3.5 ★,Remote,-1,5001 to 10000 Employees,1979,Company - Private,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),-1
54,"Analyst, AMR Data",$36K - $53K (Glassdoor est.),"Company Overview
At Spire, we believe energy exists to help people. To enrich their lives, grow their businesses, advance their communities. It’s a simple idea, but one that’s at the heart of everything we do. We are committed to understanding the needs of the homes and businesses we serve. That's why we're always looking for driven, collaborative people to join our team. Because we believe that offering our customers the best service means bringing together the best people.
And we find the best by hiring those who share our values of drive, safety, inclusion and integrity, and demonstrate our four essential behaviors that bring the Spire vision, mission and culture to life:
We make it happen: We are a company of go-getters, acting on every opportunity to help our company advance",3.8 ★,Spire Inc.3.8 ★,"Birmingham, AL",-1,1001 to 5000 Employees,1857,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),-1
55,Data Analyst,$60K - $91K (Glassdoor est.),"Contact: US Software & Consulting Inc, Mr.UmeshVeeraiah, Vice-President, Email:Umesh@ussc-corp.com Fax:(703) 636-7793

Job Location : 21165 Whitfield PL, #106, Sterling, VA 20165, USA
Job Description: : Hold and facilitate test plan/case reviews with cross-functional team members.Interpret data, analyse results using statistical techniques and provide ongoing reports.Develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality.Acquire data from primary or secondary data sources and maintain databases/data systems.Identify, analyse, and interpret trends or patterns in complex data sets.Filter and ""clean"" data, and review computer reports, printouts, and performance indicators to locate and correct code problems.Work closely with management to prioritize business and information needs. Locate and define new process improvement opportunities.Identify any potential quality issues per defined process and escalate potential quality issues immediately to management.Ensure that validated deliverable meet functional and design specifications and requirements.Isolate, replicate, and report defects and verify defect fixes.",4.3 ★,US Software & Consulting4.3 ★,"Sterling, VA",-1,1 to 50 Employees,1997,Company - Private,-1,-1,$1 to $5 million (USD),-1
56,2023 Masters Residency - Data Analyst,$95K - $112K (Employer est.),"X is Alphabet’s moonshot factory. We are a diverse group of inventors and entrepreneurs who build and launch technologies that aim to improve the lives of millions, even billions, of people. Our goal: 10x impact on the world’s most intractable problems, not just 10% improvement. We approach projects that have the aspiration and riskiness of research with the speed and ambition of a startup.
THE FOUNDATION OF AN AMAZING JOURNEY
Our goal at X is to make the world a radically better place. In order to do that we seek fresh unexpected perspectives, from different fields, and that’s why we’re excited about you.
Life here isn’t easy, but it’s fun. We’re trying to build things most people can’t even imagine, and we’re doing it with the hope of making a huge, positive impact on the world. You’ll be embedded into a moonshot project, where you’ll partner with team members to solve key challenges.",3.6 ★,Loon3.6 ★,"Mountain View, CA",-1,1001 to 5000 Employees,-1,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
57,Spatial Data Analyst,$83K - $98K (Employer est.),"Job Title
Spatial Data Analyst
Job Description Summary
This role will perform Data Analysis and Data visualization for different teams within the Space Management Organization. This is a position that will collaborate often with internal teams to develop solutions and report on data for both internal and external audiences. We are looking for a proactive and creative candidate with strong written and oral communication skills and Space Data subject matter expertise. The position performs spatial data analysis, data scrubbing and cleansing of space and occupancy data management systems (Floorscope and Tririga), space and occupancy data analytics and reporting (Google Suite Forms, Sheets, Docs & Slides). The Portfolio Spatial Data Analyst will work with the Portfolio Data Manager on space management account KPIs documents , as well as providing support with the training to account staff as necessary.




Cushman & Wakefield also provides eligible employees with an opportunity to enroll in a variety of benefit programs, generally including health, vision, and dental insurance, flexible spending accounts, health savings accounts, retirement savings plans, life, and disability insurance programs, and paid and unpaid time away from work. In addition to a comprehensive benefits package, Cushman and Wakefield provide eligible employees with competitive pay, which may vary depending on eligibility factors such as geographic location, date of hire, total hours worked, job type, business line, and applicability of collective bargaining agreements.
The compensation that will be offered to the successful candidate will depend on factors such as whether the position is covered by a collective bargaining agreement, the geographic area in which the work will be performed, market pay rates in that area, and the candidate’s experience and qualifications.
The company will not pay less than minimum wage for this role.
The compensation for the position is: $83,130.00 - $97,800.00
Cushman & Wakefield provides equal employment opportunity. Discrimination of any type will not be tolerated. Cushman & Wakefield is an Equal Opportunity / Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veteran status or any other characteristic protected by state, federal, or local law.",3.7 ★,Cushman & Wakefield3.7 ★,"Sunnyvale, CA",-1,10000+ Employees,1917,Company - Public,Real Estate,Real Estate,$5 to $10 billion (USD),-1
58,Data Analyst,$47K - $73K (Glassdoor est.),"Our Company
Wecker Associates is a world class consulting firm helping Fortune 500 companies with sophisticated data, statistical and mathematical analyses for corporate decision making, research and development, and expert testimony in litigations. We are looking for the right individual to join our team in Jackson, WY.

General Purpose
Data Analysts and Consultants work closely with Project Managers and Senior Consultants to solve client problems.

Desirable Qualifications
M.S. or B.S. in quantitative field;
Strong computer and data analysis skills (we use SAS, S-plus, Mathematica, and other scientific and general business software in a UNIX environment);",5.0 ★,"William E. Wecker Associates, Inc.5.0 ★","Jackson, WY",-1,1 to 50 Employees,-1,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$1 to $5 million (USD),-1
59,IT Business Analyst I/II,$71K - $96K (Glassdoor est.),"The Business Analyst I/ II works under general supervision to support IT and Business initiatives. They must have excellent analytical skills to interpret and translate the needs of customers into operational processes. They may lead small to medium sized efforts and support team members throughout the project lifecycle. Under the direction of the senior Business Analysts, they will aide in documenting user stories, business requirements and comprehensive solutions for a number of initiatives based on the project methodology. Candidate will be hired based on appropriate level of experience.
Key Responsibilities:
Continue to gain the working knowledge of the IT Organization and business systems that they support.
Understand the Platform(s) business objectives and develop a strong working relationship with business partners and stakeholders that they support.
Under general supervision, provide quality documentation support for business/functional requirements gathering; process analysis; gap analysis; design of new functionality; and product testing for medium to large sized efforts.",4.3 ★,Arbella Insurance Group4.3 ★,"Quincy, MA",-1,1001 to 5000 Employees,1988,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1
60,Data Analyst,$55K - $77K (Glassdoor est.),"AIPSO is a management organization and service provider for various insurance industry groups responsible for administering the residual market. We are a national organization that serves local customer needs. Centralization and standardization are key to many AIPSO services because of the inherent economies of scale and other efficiencies. However, our organization is based on customer focus and recognizes the need for flexibility in serving customer groups with diverse interests.

Essential Duties and Responsibilities::
Support operations and conduct data analytics projects to provide information and insights to stakeholders
for decision-making or solution development.
Implement data standards and deploy automation tools to extract, synthesize, and validate data from
different sources and transform data into usable metrics.
integrity.
decision-making.
including dashboards, infographics, reports, and models to inform and support decision-making.
quality assurance professionals, or researching data errors.


Bachelor's degree (BA/BS) majoring in mathematics, statistics, or related field from a four-year college or university. Additional appropriate experience may be considered in lieu of a degree.


3 or more years experience in the data analysis field required Experience using databases, spreadsheets, statistical software, and computer languages to compile and categorize data. Adhere strictly to procedures and quality control standards.


Strong spreadsheet and technical skills to use databases and pivot tables.
consider a wide range of alternatives before acting.
information and respond to questions from groups or individuals.
exhibits.",3.9 ★,AIPSO3.9 ★,"Johnston, RI",-1,201 to 500 Employees,1972,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1
61,Data Visualization Analyst,$69K - $99K (Glassdoor est.),"Teamwork makes the stream work.
Roku is changing how the world watches TV
Roku is the #1 TV streaming platform in the US, and we've set our sights on powering every television in the world. Roku pioneered streaming to the TV. Our mission is to be the TV streaming platform that connects the entire TV ecosystem. We connect consumers to the content they love, enable content publishers to build and monetize large audiences, and provide advertisers unique capabilities to engage consumers.
From your first day at Roku, you'll make a valuable - and valued - contribution. We're a fast-growing public company where no one is a bystander. We offer you the opportunity to delight millions of TV streamers around the world while gaining meaningful experience across a variety of disciplines.",4.2 ★,Roku4.2 ★,"Austin, TX",-1,1001 to 5000 Employees,2002,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD),-1
62,Data Analyst,$73K - $169K (Employer est.),"Data Analyst

This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office.
Job Description:

Aruba, a Hewlett Packard Enterprise Company, is a leading provider of next-generation network access solutions for the mobile enterprise: http://www.arubanetworks.com/company/about-us.
We are looking for a Data Analyst to join our team. This role will be in a strategic position to work closely with different Operation teams. The candidate needs to have a good understanding of the concepts, methods and techniques used in Analytics, AI, Data Management, Data architecture and Statistical skills, Programming languages, and Business Intelligence tools. The candidate will demonstrate strong interpersonal communication and relationship management skills to become involved with business operations from day-to-day tactical activities to long-term strategic planning.
Supply Chain & Operations
Expert

Annual Salary: $73,400.00 - $168,900.00",4.2 ★,Hewlett Packard Enterprise4.2 ★,"Spring, TX",-1,10000+ Employees,2015,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
63,Data Analyst,$67K - $100K (Glassdoor est.),"Aura is on a mission to create a safer internet. In a world where our lives are increasingly online, Aura's category-defining suite of intelligent digital safety products help millions of customers protect themselves against digital threats, and that number is growing rapidly. This is an exciting phase at Aura, and our team of over 500 people worldwide is guided by a leadership slate that's successfully grown startups into multi-billion dollar organizations.
Come join us for the ride!
About the Role:
The Data Analyst position is central to leading business analytics process functions supporting global Aura Business Units. In addition to managing local analytics requirements, this role will partner with several business leaders providing value-adding analysis, proactive support to provide meaningful reporting and analysis, and KPIs to help guide the business.",4.3 ★,Aura4.3 ★,"Boston, MA",-1,201 to 500 Employees,2017,Company - Private,Software Development,Information Technology,$100 to $500 million (USD),-1
64,Data and Strategy Analyst,$62K - $89K (Glassdoor est.),"When you work at Equity Trust, there is never a dull moment! You get to be a part of a dynamic, innovative, and collaborative team dedicated to providing a superior client experience and driven by performance. Our culture of learning and growth encourages our teams to challenge the status quo and break through ceilings to establish new standards for our industry. For all our associates, the journey is both challenging and rewarding, and we embrace the flexibility to allow you to pave your own path. Come join our mission and learn what it truly means to self-direct your future!

This position is based out of our Westlake, OH office and is eligible for a hybrid schedule after probationary period.
JOB OVERVIEW

The Data & Strategy Analyst collects, organizes, analyzes, and delivers data related to the business operations, sales, customer service, strategic initiatives, and Equity Trust products. The analyst will develop and maintain reports, including dashboards, KPI reporting, and other ad-hoc reports as requested.

As part of the Product Management and Client Insight team, the Data & Strategy Analyst will conduct market research and report on overall trends within the financial industry (both competitor and non-competitor) to ensure that Equity Trust is in position to develop products and services that ensure we are exceeding customer expectations.

RESPONSIBILITIES & DUTIES

QUALIFICATIONS

PROFESSIONAL CERTIFICATIONS

TECHNICAL SKILLS

To be successful in this role, you should have experience with and an understanding of the following:

CULTURAL COMPETENCIES

In addition to our core company competencies of Cultivates Innovation, Nimble Learning, Action Oriented, Collaborates, and Being Resilient, a successful candidate in this role should exhibit the following behavioral competencies:

PHYSICAL DEMANDS/WORK ENVIRONMENT

This job operates in a professional office environment and routinely uses standard office equipment. While performing the duties of this job, the associate is regularly required to speak and hear. The associate is frequently required to sit for extended periods of time, as well as stand, walk, use hands and fingers, and reach with hands and arms. This job requires the ability to lift files, open filing cabinets, and bend or stand on a stool as necessary.

DISCLAIMER/ASSOCIATE ACKNOWLEDGEMENT

The above statements describe the general nature and level of work only. They are not an exhaustive list of all required responsibilities, duties, and skills. Other duties may be added, or this description amended at any time.

Equity Trust Company is an equal opportunity at will employer and does not discriminate against any employee or applicant for employment because of age, race, religion, color, disability, sex, sexual orientation or national origin.",4.4 ★,Equity Trust Company4.4 ★,"Westlake, OH",-1,201 to 500 Employees,1974,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,-1
65,Data Analyst,$73K - $82K (Employer est.),"DESCRIPTION:
JSI Research & Training Institute, Inc. (JSI) is seeking highly motivated individuals for a Data Analyst role in our Boston, MA office. The Data Analyst will design and implement public health data collection systems for the purposes of needs assessment, program evaluation, continuous quality improvement, and research. The Data Analyst will engage in a variety of public health areas: primary care/behavioral health integration; strategies to advance health and racial equity, including addressing social determinants of health and other barriers to healthcare access; women’s health, and maternal and child health; HIV and infectious diseases; payment reform and Medicaid policy; safety-net service delivery, and multisector approaches to advancing population health.
The ideal candidate will be a flexible and enthusiastic individual with a desire to support JSI’s mission of promoting and improving health for all, with a focus on U.S. communities with unequal access to health-related resources. Candidates should have an understanding and interest in racial and health equity. Data Analysts will contribute to JSI’s services in the areas of technical assistance and training, capacity building, health needs assessment, strategic planning, research, program evaluation, and health communications.",3.9 ★,JSI3.9 ★,"Boston, MA",-1,1001 to 5000 Employees,1978,Company - Private,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),-1
66,Data Analyst,$49K - $70K (Glassdoor est.),"Chicago Fire Football Club is a Major League Soccer team that was founded in 1997. The Club returned to Soldier Field as well as opened a new 50,000 square foot business office in the heart of the city. With tremendous growth and expansion, the Club is laying the foundation for an ambitious vision that will transform the Club in the coming years.
Position Overview:
Chicago Fire FC is hiring a data analyst to work with the club’s sporting staff. The data analyst will be responsible for delivering data-driven metrics, predictive models, analysis, and visualizations. This position will support Football Operations stakeholders by deriving actionable insights from varied datasets. The analyst will work with colleagues in the analytics department to set data standards and best practices across the club.
Job Responsibilities:
Collaborate with analytics department colleagues to develop models and analyses to inform football operations decision-making",3.8 ★,Chicago Fire FC3.8 ★,"Bridgeview, IL",-1,51 to 200 Employees,-1,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$5 to $25 million (USD),-1
67,Data Analyst,$38K - $60K (Glassdoor est.),"Job Type
Full time opoortunity
General Description
The Data Analyst designs and executes data mining plans, performs primary and secondary analyses, prepares reports, and conducts research & presentations of moderate difficulty on a wide range of projects. Tasks typically involve quantitative analysis, data integration from both internal & external sources and database development. It also involves market research project coordination.
Essential Duties and Responsibilities
Performs data mining and analyze large sets of data to identify patterns and trends by applying quantitative
and analytical tools. Ensures data quality by performing segmentation, applicable policies, and accuracy
audits.
and monitoring procedures to maintain credit risk exposure within acceptable parameters.
including the collection, coding, and tabulation. Leads the evaluation of the data as well as the database
development and maintenance or relational database and data system.
response analyses.
research and analysis. Provides concise data reports and clear data visualizations for management.
results of the analysis made.
policies/guidelines, automation systems and procedures.",3.7 ★,Popular Community Bank3.7 ★,"San Juan, PR",-1,5001 to 10000 Employees,1979,Company - Public,Banking & Lending,Financial Services,$1 to $5 billion (USD),-1
68,"ECOMMERCE ANALYST, BUSINESS INTELLIGENCE",$69K - $97K (Glassdoor est.),"THE GIG
You are passionate about providing data and analysis to support driving growth in eCommerce. You understand the key KPIs of an eCommerce channel. In this role you will be responsible for supporting the regional and global digital teams with data and analysis to continuously enhance the region’s business intelligence. You get the Dr. Martens brand and are excited to support the team in enhancing Dr. Martens’ footprint in the Americas region.
THE STUFF THAT SETS YOU APART
Contributing analysis to support identifying key opportunities to improve the website’s performance and effectiveness, particularly on mobile.
Following-up with performance analysis after website deployments are made.",3.8 ★,Dr Martens3.8 ★,"Portland, OR",-1,1001 to 5000 Employees,1960,Company - Private,"Department, Clothing & Shoe Stores",Retail & Wholesale,$100 to $500 million (USD),-1
69,Data Analyst,$57K - $88K (Glassdoor est.),"Who we are
Olink Proteomics is a rapidly growing life science company committed to advancing the understanding of human diseases through proteomics. We are dedicated to innovation, quality, rigor, and transparency, providing outstanding solutions and support for human protein biomarker discovery.
The vital role of proteins in understanding human biology has been recognized for many decades, but technological limitations severely restricted the comprehensive investigation of the huge number of proteins that could be important in different biological processes and diseases. With Olink, scientists can now simultaneously measure thousands of human proteins using just a few µL of blood sample, with highly specific, thoroughly validated assays that cover a very wide dynamic range (fg/mL to µg/mL).",3.6 ★,Olink3.6 ★,"Boston, MA",-1,51 to 200 Employees,-1,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,Unknown / Non-Applicable,-1
70,Telecom Data Analyst (entry level),$52K - $74K (Glassdoor est.),"Company Description

ClientSolv Technologies is an IT solution firm with over a decade of experience serving Fortune 1000 companies, public sector and small to medium sized companies. ClientSolv Technologies is a woman-owned and operated company that is certified as a WMBE, 8a firm by the Federal government's Small Business Administration.

Job Description

We are seeking a Telecom Data Analyst for a contract to hire role in Germantown, MD. This role will work onsite/in the office in Germantown, MD 4 days per week with one day per week working remotely. This role is consider entry level and there will be training provided.",3.7 ★,ClientSolv Technologies3.7 ★,"Germantown, MD",-1,Unknown,1994,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
71,Entry Level Data Analyst,$67K - $83K (Employer est.),"Who We Are: ThinkTek LLC is a fast-growing Certified SBA 8(a) and Service-Disabled Veteran-Owned Small Business (SDVOSB) company. We specialize in providing management and technology consulting services to support the business and technology modernization efforts of the Federal Government. ThinkTek was formed with the specific purpose of providing its clients a tailored solution around Program & Project Management, Strategic Planning, and IT Operations
Position Description: We are seeking a highly motivated and skilled Junior Quantitative Analyst to join our team. The ideal candidate will be responsible for conducting business analyses and studies, needs assessments, requirements analysis/definition, and cost/benefit analyses to align business systems, solutions, and initiatives.
Key Responsibilities include:
Candidate will be responsible for conducting business analyses and studies, needs assessments, requirements analysis/definition, and cost/benefit analyses to align business systems, solutions, and initiatives.",5.0 ★,ThinkTek LLC5.0 ★,"Alexandria, VA",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
72,2023 Masters Residency - Data Analyst,$95K - $112K (Employer est.),"X is Alphabet’s moonshot factory. We are a diverse group of inventors and entrepreneurs who build and launch technologies that aim to improve the lives of millions, even billions, of people. Our goal: 10x impact on the world’s most intractable problems, not just 10% improvement. We approach projects that have the aspiration and riskiness of research with the speed and ambition of a startup.
THE FOUNDATION OF AN AMAZING JOURNEY
Our goal at X is to make the world a radically better place. In order to do that we seek fresh unexpected perspectives, from different fields, and that’s why we’re excited about you.
Life here isn’t easy, but it’s fun. We’re trying to build things most people can’t even imagine, and we’re doing it with the hope of making a huge, positive impact on the world. You’ll be embedded into a moonshot project, where you’ll partner with team members to solve key challenges.",3.6 ★,Loon3.6 ★,"Mountain View, CA",-1,1001 to 5000 Employees,-1,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
73,Data Analyst,$50K - $76K (Glassdoor est.),"Job Description
The role of a Data Analyst is the last phase of the process of data within Silent Falcon. Due to being the last step before being presented to the client, it is heavily interlocked with various departments and requires flexible skillsets and creative problem-solving.
About the Job

We’re looking for a Data Analyst! Our software and data pipelines have been built from the ground up, so if you are excited about collaborating in a high-performance team and implementing the latest advancements in Aviation to impact the future of geospatial analytics, then this opportunity could be an excellent fit for you.",4.2 ★,Silent Falcon UAS Technologies4.2 ★,"Front Royal, VA",-1,1 to 50 Employees,-1,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,-1
74,Payor Data Analyst - Remote,$57K - $85K (Glassdoor est.),"Job Description:
Sharecare is the leading digital health company that helps people – no matter where they are in their health journey – unify and manage all their health in one place. Our comprehensive and data-driven virtual health platform is designed to help people, providers, employers, health plans, government organizations, and communities optimize individual and population-wide well-being by driving positive behavior change. Driven by our philosophy that we are all together better, at Sharecare, we are committed to supporting each individual through the lens of their personal health and making high-quality care more accessible and affordable for everyone. To learn more, visit www.sharecare.com.

Job Summary:

The Payor Data Analyst ensure consistent and effective management of client data within existing Sharecare processes, works to drive data quality and follows governance for Audit Data analytics, responsible for the management and quality control of datasets in preparation for production and reporting usage. Serves as a SME on client level data, data submission and ingestion processes and other assigned data heavy processes.",4.1 ★,Sharecare4.1 ★,"Atlanta, GA",-1,1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$500 million to $1 billion (USD),-1
75,Data Analyst,$55K - $70K (Employer est.),"Holland Homes is in search of someone who has experience in analytics and BI. This position is responsible for coordinating, gathering, querying, formatting, cleaning, analyzing, and interpreting data in efforts to help streamline and coordinate information across all departments of the company to communicate with one another, create analytics and reports company-wide that provides leadership to have up to date, accurate, and timely information.
*Job is not remote must live near Auburn, AL*
Responsibilities include:
- Collecting data from single or multiple systems.
- Developing reports and analysis as well as dashboards and graphics.",2.3 ★,"Holland Homes, LLC2.3 ★","Auburn, AL",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
76,Associate Business Analyst,$58K - $86K (Employer est.),"Primary Details
Time Type: Full time
Worker Type: Employee
The Opportunity

This role will contribute to essential process documentation and project implementation of functional and technical solutions designed to enhance business capability, achieve results and support organizational growth.
Primary Responsibilities

Support development of implementation and improvement plans by communicating with key stakeholders to define business needs, analyze requirements and desired outcomes and recommend solutions

Required Education


Required Experience


Preferred Competencies/Skills


Preferred Knowledge


About QBE",4.0 ★,QBE4.0 ★,"Ramsey, MN",-1,10000+ Employees,1886,Company - Public,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1
77,Senior Data Analyst,$65K - $100K (Employer est.),"Senior Data Analyst

Utah, United States
June 20, 2023
Job Responsibilities:
Understands all data sources received and assists stakeholders by building solutions/tools to help our company grow.
Creates potential outbound lists for stakeholders where opportunities for members exist
Finds new ways to assist with increasing WTW profits based on Data received.
Supports teams with data that supports decision-making movement.",3.9 ★,Willis Towers Watson3.9 ★,"Salt Lake City, UT",-1,10000+ Employees,1828,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD),-1
78,Data Analyst,$83K - $152K (Employer est.),"Work Mode:
Onsite
Responsibilities:
【About Tencent】
Tencent is a world-leading internet and technology company that develops innovative products and services to improve the quality of life of people around the world. Founded in 1998 with its headquarters in Shenzhen China, our guiding principle is to use technology for good.
We are not only a major video game publisher in the world, we also produce other high-quality digital content, enriching interactive entertainment experiences for people around the globe. We offer a range of services such as cloud computing, advertising, FinTech, and other enterprise services to support our clients' digital transformation and business growth.
【About Level Infinite】
Level Infinite is a global gaming brand dedicated to delivering high-quality and engaging interactive entertainment experiences to a worldwide audience, wherever and however they choose to play. It operates from bases in Amsterdam and Singapore with staff around the world.
To learn more about Level Infinite, visit www.levelinfinite.com, and follow on Twitter, Facebook, Instagram and YouTube.






California
The base pay range for this position in the state(s) above is $82,800 to $151,800 per year. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered.",4.0 ★,Tencent4.0 ★,"Los Angeles, CA",-1,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1
79,Data Analyst,$52K - $78K (Glassdoor est.),"Location : Morristown IN OPD, Council Bluffs IA OPD
City : Morristown
State : Indiana (US-IN)
Country : United States (US)
Requisition Number : 29508
Overivew
A Data Analyst must assist in data and information cleaning, mining, cataloguing, analyzing and interpreting obtained by digital or analog means, being an essential professional to support decision making. From the analysis of the collected data, the analyst must organize and interpret them to extract patterns, make them visible and understandable, point out paths and solutions to eventual problems, among others.",3.9 ★,Bunge3.9 ★,"Morristown, IN",-1,10000+ Employees,-1,Company - Public,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD),-1
80,Junior Data Analyst,$48K - $74K (Glassdoor est.),"Description:
Located on a beautiful campus in Union, New Jersey, our state-of-the-art monitoring center facility is the most advanced in the United States. The team at Affiliated Monitoring protects millions of people by monitoring their security alarms and medical alert systems.
Our team currently has an opening for a Junior Data Analyst. Working as part of our Transfer Implementation Team, this critical role is instrumental in analyzing and processing data for new business conversions for life safety monitoring. You will be interpreting and implementing data from partners ranging from nationally recognized security, PERS and IoT providers to unique technology startups.
This position requires critical thinking and problem-solving skills.
*This is an onsite position*
Requirements:",3.9 ★,Affiliated Monitoring3.9 ★,"Union, NJ",-1,501 to 1000 Employees,1977,Company - Private,Security & Protective,Management & Consulting,$100 to $500 million (USD),-1
81,Data Analyst,$65K - $70K (Employer est.),"Local Unit & Position Description
DNV Energy s Program Development & Implementation (PDI) Business Area is seeking a Business Analyst (BA) to join our rapidly growing team based in Las Vegas, NV. The successful candidate will provide analytical support for our utility-led energy incentive programs by collecting, analyzing, and reporting program data. The BA will also serve as the program s point of contact with IT Teams to manage, improve and test program databases.This position will ideally be based in our Reno (NV) or Las Vegas (NV) office. Other office locations or remote work may be considered for the right candidate.
What You ll Do
Compile and analyze program and project level data such as energy savings, incentives, and application status

Requisition #clj42201a000h08mlfql1003r",3.9 ★,DNV3.9 ★,"Las Vegas, NV",-1,10000+ Employees,1864,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),-1
82,Junior Business Analyst,$60K - $87K (Glassdoor est.),"Hintz and Co is a boutique full service media agency with depth and passion. Hintz Group operates in Europe and North America and services its clients through a portfolio of specialist teams that span across media, strategy, digital, data consulting, programmatic buying and performance marketing. We balance digital with traditional, data with instincts, delivering meaningful media executions.
We are committed to fostering a culture that empowers our people, encourages sustainability and promotes teamwork and work-life balance.
About The Role
With our head office in France, Hintz has more recently opened an office in North America and is currently building a team of energetic, nimble and passionate individuals. You will be hands-on across a variety of projects, with a huge opportunity for career progression and play a critical role within the team on a daily basis.",3.8 ★,Hintz and Co3.8 ★,"Los Angeles, CA",-1,1 to 50 Employees,1979,Company - Private,Architectural & Engineering Services,"Construction, Repair & Maintenance Services",$5 to $25 million (USD),-1
83,Data Analyst,-1,"Description:
The basic skills and experience needed for the role.

Data Management Experience in AWS – AWS S3, Glue, Redshift
Data modelling, engineering to design/build conformed data models
Power BI for data visualizations
Data analysis and insights discovery
Health care product analytics

Requirements:
The basic skills and experience needed for the role.

Data Management Experience in AWS – AWS S3, Glue, Redshift Data modelling, engineering to design/build conformed data models Power BI for data visualizations Data analysis and insights discovery Health care product analytics",3.6 ★,"RADcube, LLC3.6 ★",Indiana,-1,51 to 200 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
84,Data Analyst,$80K - $118K (Employer est.),"POSTING NUMBER: #1648
POSITION TITLE: Data Analyst
CLOSING DATE: Until Filled
LOCATION: Remote, USA

The Public Health Institute (PHI) is an independent, nonprofit organization dedicated to promoting health, well-being, and quality of life for people throughout California, across the nation and around the world. As one of the largest and most comprehensive public health organizations in the nation, we are at the forefront of research and innovations to improve the efficacy of public health statewide, nationally, and internationally.",4.1 ★,Public Health Institute4.1 ★,Remote,-1,501 to 1000 Employees,1964,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$25 to $100 million (USD),-1
